Horizon,SampleSize,lb,ub,ub_l,ub_r
5,50,2379.8,2546.81,2408.01,2685.61
5,50,2396.84,2614.57,2461.17,2767.97
5,50,2403.35,2643.5,2508.08,2778.91
5,50,2413.87,2776.89,2628.54,2925.25
5,50,2415.54,3487.51,3348.95,3626.07
5,50,2439.86,2782.96,2640.79,2925.12
5,50,2452.37,2633.84,2500.59,2767.08
5,50,2453.9,2748.25,2615.31,2881.19
5,50,2457.4,3183.14,3003.38,3362.89
5,50,2468.41,2785.09,2641.69,2928.48
5,50,2469.33,3338.6,3220.15,3457.04
5,50,2477.46,2908.56,2759.56,3057.56
5,50,2479.07,2804.74,2662.12,2947.36
5,50,2480.07,3176.89,3049.88,3303.91
5,50,2482.54,2640.61,2501.25,2779.98
5,50,2499.35,2772.84,2649.94,2895.75
5,50,2506.77,2812.36,2664.88,2959.84
5,50,2510.09,2860.21,2720.41,3000
5,50,2516.09,2638.67,2481.19,2796.15
5,50,2519.24,2811.34,2683.07,2939.61
5,50,2519.81,2779.84,2642.87,2916.8
5,50,2521.44,2943.86,2833.78,3053.95
5,50,2527.14,2727.33,2574.74,2879.92
5,50,2530.48,2549.71,2419.82,2679.61
5,50,2532.51,2758.29,2613.23,2903.35
5,50,2536.95,3381.05,3255.64,3506.45
5,50,2540.06,2857.2,2730.7,2983.69
5,50,2546.06,3725.97,3622,3829.94
5,50,2551.72,2755.05,2603.85,2906.25
5,50,2554.21,2754.3,2584.55,2924.04
5,50,2559.39,2827.22,2735.9,2918.55
5,50,2564.91,2681.79,2550,2813.58
5,50,2574.01,2886.31,2720.02,3052.6
5,50,2576.13,3730.31,3619.49,3841.13
5,50,2584.7,2636.23,2486.84,2785.63
5,50,2586.65,2900.67,2750.89,3050.45
5,50,2588.85,2671.45,2516.84,2826.05
5,50,2593.73,3692.07,3564.94,3819.2
5,50,2595.88,2706.08,2547.71,2864.44
5,50,2604.16,2648.1,2489.86,2806.34
5,50,2604.16,2558.62,2396.47,2720.78
5,50,2604.16,2722.46,2578.21,2866.71
5,50,2604.16,2476.36,2319.44,2633.27
5,50,2604.16,2687.21,2540.73,2833.69
5,50,2604.16,2586.78,2478.86,2694.69
5,1,698.949,,,
5,1,2025.18,,,
5,1,2051.4,,,
5,1,2363.64,,,
5,1,2363.64,,,
5,1,2373.26,,,
5,1,2379.7,,,
5,1,2394.68,,,
5,1,2396.46,,,
5,1,2399.5,,,
5,1,2402.98,,,
5,1,2416.58,,,
5,1,2430.35,,,
5,1,2431.2,,,
5,1,2431.63,,,
5,1,2447,,,
5,1,2454.09,,,
5,1,2454.11,,,
5,1,2454.56,,,
5,1,2457.39,,,
5,1,2458.17,,,
5,1,2467.2,,,
5,1,2470.55,,,
5,1,2470.73,,,
5,1,2471.77,,,
5,1,2476.42,,,
5,1,2489.59,,,
5,1,2494.39,,,
5,1,2496.46,,,
5,1,2498.25,,,
5,1,2498.25,,,
5,1,2499.89,,,
5,1,2505.14,,,
5,1,2506.63,,,
5,1,2512.52,,,
5,1,2512.91,,,
5,1,2513.3,,,
5,1,2513.73,,,
5,1,2523.33,,,
5,1,2523.73,,,
5,1,2526.92,,,
