SampleSize,lb,ub,ub_l,ub_r
50,3596.3,3585.87,3476.42,3695.33
50,3597.46,3786.83,3679.48,3894.17
50,3599.05,3877.46,3759.05,3995.87
50,3600.64,3575.25,3467.18,3683.32
50,3601.42,3688.46,3575.29,3801.63
50,3602.82,3471.63,3370.22,3573.03
50,3605.77,3690.87,3576.02,3805.73
50,3605.77,3550.36,3446.13,3654.6
50,3605.77,3588.18,3475.65,3700.71
50,3605.77,3620.83,3507.82,3733.84
50,3605.77,3613.15,3505.75,3720.55
50,3605.77,3654.82,3577.93,3731.71
